country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Belgium,26390,0,3588,12,0,1297 km,4372000 mt,1269000 Cu.M,2,67 km,0,14900000000,0,1594190730000,44,3880753,41449000000,2,0,5416000,7,5,15347000000 Cu.M,13436000 Cu.M,596000 bbl,11000 bbl,0,119776,4100000000 Cu.M,0 Cu.M,0 bbl,749229000000,3602 km,6600,118414 km,0,0,0,0,0,0,30528 km,198,104,14,4910830,9,10190,11977634,48,0,27,7,2043 km
Beliz,2000,0,164,0,0,542 km,0 mt,0 Cu.M,15,386 km,0,34400000,0,1235000000,0,90226,498087000,0,0,190000,2,0,0 Cu.M,0 Cu.M,5000 bbl,800 bbl,0,8732,0 Cu.M,0 Cu.M,6700000 bbl,5538000000,0 km,850,3281 km,0,0,1,0,0,0,22966 km,774,3,1,158000,15,,415789,27,0,0,1,825 km
Benin,4750,0,92,0,0,2123 km,164000 mt,0 Cu.M,2,121 km,0,137690000,0,6309000000,0,3189260,698900000,0,0,6397000,1,0,182131000 Cu.M,0 Cu.M,40000 bbl,0 bbl,0,308638,0 Cu.M,1133000000 Cu.M,8000000 bbl,56424000000,438 km,0,16000 km,0,0,1,0,0,0,112622 km,6,7,5,5584880,2,,14697052,10,16,0,1,150 km
Bhutan,16000,0,78,0,0,1136 km,105000 mt,4000 Cu.M,0,0 km,0,26600000,0,2827000000,0,122067,941018000,0,0,406500,0,0,0 Cu.M,0 Cu.M,4000 bbl,0 bbl,0,4423,0 Cu.M,0 Cu.M,0 bbl,11517000000,0 km,50000,12205 km,0,0,0,0,0,0,38394 km,0,2,2,203446,0,,884546,4,0,0,0,0 km
Bolivia,40000,0,764,0,0,7252 km,9000 mt,0 Cu.M,50,0 km,0,467670000,0,11174000000,0,4112199,1977000000,0,0,6859000,0,0,3055000000 Cu.M,13760000000 Cu.M,100000 bbl,58000 bbl,0,233928,1000000 Cu.M,302990000000 Cu.M,240900000 bbl,122200000000,3690 km,40000,90568 km,0,0,2,0,0,54,1098581 km,50,67,29,5417269,67,,12311974,201,58,20,15,10000 km
Bosnia and Herzegovina,18000,0,892,0,0,1543 km,12304000 mt,12311000 Cu.M,0,20 km,0,289920000,0,5359000000,0,1956316,9419000000,0,0,1356000,1,0,225824000 Cu.M,0 Cu.M,34000 bbl,0 bbl,0,49383,2264000000 Cu.M,0 Cu.M,0 bbl,64641000000,965 km,8000,8619 km,24,0,0,0,0,45,51197 km,0,15,15,2355176,0,,3798671,20,300,0,0,990 km
Botswana,12000,0,1224,0,0,4347 km,1351000 mt,2242000 Cu.M,0,0 km,0,581000000,0,1761000000,10,617568,3456000000,0,0,1173000,0,0,0 Cu.M,0 Cu.M,22000 bbl,0 bbl,0,24507,1660000000 Cu.M,0 Cu.M,0 bbl,45553000000,888 km,0,31747 km,20,12,0,0,0,45,581730 km,0,45,16,1029281,0,,2450668,122,36,10,9,0 km
Brazil,376000,0,22464,30,0,16145 km,32223000 mt,15556000 Cu.M,22,7491 km,2,26400000000,0,198582000000,44,88680759,329732000000,8,1,106790000,45,4,31654000000 Cu.M,22670000000 Cu.M,3163000 bbl,4221000 bbl,200000,3520824,6596000000 Cu.M,363985000000 Cu.M,12715000000 bbl,4165000000000,29850 km,1340000,2000000 km,82,149,25,6,0,294,8515770 km,888,495,186,112226271,69,166419,220051512,5297,412,124,107,50000 km
Bulgaria,36950,0,6724,5,4,1806 km,20557000 mt,20970000 Cu.M,0,354 km,3,2485350000,0,14277000000,11,2611324,43698000000,6,0,3124000,2,17,2801000000 Cu.M,20837000 Cu.M,101000 bbl,4000 bbl,0,61044,2174000000 Cu.M,5663000000 Cu.M,15000000 bbl,219645000000,4029 km,3000,19512 km,24,48,0,0,0,334,110880 km,78,71,23,3187850,45,,6782659,107,24,26,6,470 km
Burkina Faso,7500,0,876,3,5,3611 km,0 mt,0 Cu.M,0,0 km,0,4590000000,0,3565000000,0,6060098,47138000,0,0,6461000,0,0,0 Cu.M,0 Cu.M,37000 bbl,0 bbl,4500,368675,0 Cu.M,0 Cu.M,0 bbl,60001000000,622 km,0,15304 km,9,0,2,0,0,0,274200 km,0,26,19,8525614,0,,23042199,49,8,0,2,0 km
Cambodia,124300,0,5439,0,0,2530 km,4390000 mt,27000 Cu.M,20,443 km,0,750000000,0,8019000000,0,5733393,22506000000,0,0,9904000,2,0,0 Cu.M,0 Cu.M,77000 bbl,0 bbl,10000,307146,0 Cu.M,0 Cu.M,0 bbl,123676000000,642 km,0,61810 km,521,30,0,0,0,520,181035 km,195,24,20,8190561,20,,17063669,12,525,0,4,3700 km
Cameroon,38000,0,860,0,0,5018 km,0 mt,0 Cu.M,19,400 km,0,835694942,0,11112000000,0,6224187,4882000000,0,0,11119000,7,0,877058000 Cu.M,2595000000 Cu.M,41000 bbl,64000 bbl,9000,495458,0 Cu.M,135071000000 Cu.M,200000000 bbl,143264000000,987 km,0,77589 km,20,18,2,0,0,0,475440 km,198,35,21,10528476,19,,30966105,37,52,6,6,0 km
Canada,63500,0,21780,0,0,8893 km,20092000 mt,50687000 Cu.M,17,202080 km,0,45824959620,0,2571113270000,66,13500595,119778000000,12,0,22868000,284,0,130316000000 Cu.M,187686000000 Cu.M,2377000 bbl,5688000 bbl,5500,426743,6582000000 Cu.M,2067126000000 Cu.M,170300000000 bbl,2341000000000,49422 km,23000,1042300 km,0,0,34,4,6,74,9984670 km,716,354,146,16681770,67,119637,38794813,1425,0,95,29,636 km
Central African Republic,30000,0,270,8,0,5920 km,0 mt,0 Cu.M,0,0 km,0,300000000,0,724179000,0,1254512,374405000,0,0,2000000,0,0,0 Cu.M,0 Cu.M,2000 bbl,0 bbl,1000,101717,3000000 Cu.M,0 Cu.M,0 bbl,5926000000,0 km,0,24000 km,0,0,0,0,0,0,622984 km,0,8,0,2203873,0,,5650957,43,0,0,0,2800 km
