Country_Code,Country_Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
UAE,United Arab Emirates,10032213,5818684,"4,945,881",80258,65000,130000,12000,581,99,40,35,151,27,5,250,30,354,8982,165,99,49,84,20210.0,0,0,0,0,0,11,34,2,23480000000,290400000000,745994000000,237931000000,42,7090000,20,655,0,"4,080                        						
							km",4146000,846000,97800000000,56683000000.0,66091000000.0,6091000000.0,0.0,5411000,0.0,83600,1318,1066,0
CZC,Czechia,10837890,5093808,"4,129,236",97541,30334,4900,0,103,12,16,10,21,2,0,42,4,20,6275,53,0,16,0,,0,0,0,0,0,0,0,0,9174000000,232320000000,521928000000,146281000000,252,5541000,0,0,9548,"129,418                        						
							km",4000,219000,15000000,224725000.0,7602000000.0,3964000000.0,31946000.0,33239000,3595000000.0,78867,0,2046,664
MOR,Morocco,37387585,17946041,"15,254,135",635589,400000,250000,50000,271,84,0,31,77,4,2,73,6,1346,17594,544,188,185,100,,0,0,0,0,6,1,84,0,16100000000,42262000000,350594000000,37134000000,48,12475000,12,94,2067,"57,300                        						
							km",25,296000,684000,82595000.0,243201000.0,1444000000.0,0.0,10304000,96000000.0,715550,1835,2363,0
HUN,Hungary,9855745,4632200,"3,794,462",118269,41600,20000,15000,80,12,0,3,17,0,0,50,8,220,11502,24,295,0,0,,0,0,0,0,0,0,0,0,5887250000,151250000000,389207000000,46422000000,109,4954000,0,1,7687,"203,601                        						
							km",36000,179000,12100000,1523000000.0,9485000000.0,3738000000.0,4293000.0,4694000,2633000000.0,103000,0,2106,1622
KAZ,Kazakhstan,20260006,9117003,"6,928,922",283640,110000,135000,55000,168,37,13,21,25,0,0,72,12,353,17460,126,194,287,26,,0,0,0,0,0,0,23,2,5836386000,25765000000,739385000000,45808000000,132,10285000,0,122,16636,"96,167                        						
							km",1955000,386000,30000000000,27011000000.0,22623000000.0,2407000000000.0,120279000.0,86349000,25605000000.0,2724900,26,13364,43983
ANG,Angola,37202061,7440412,"3,720,206",372021,107000,0,10000,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,,0,0,0,0,0,0,32,0,31200000000,45299000000,278239000000,14243000000,107,15961000,21,64,2761,"76,000                        						
							km",1175000,121000,7783000000,5514000000.0,1397000000.0,343002000000.0,0.0,0,0.0,1246700,1600,5369,1300
AZR,Azerbaijan,10650239,5218617,"3,908,638",159754,128000,306000,15000,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,,0,0,4,0,0,0,17,4,5100000000,12378000000,225198000000,12699000000,32,5020000,0,312,2944,"24,981                        						
							km",618000,109000,7000000000,34175000000.0,11759000000.0,1699000000000.0,0.0,6000,0.0,86600,713,2468,0
BEL,Belgium,11977634,4910830,"3,880,753",119776,26390,6600,0,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190.0,0,0,0,0,2,0,2,5,14900000000,1594190730000,749229000000,41449000000,48,5416000,7,198,3602,"118,414                        						
							km",11000,596000,0,13436000.0,15347000000.0,0.0,1269000.0,4372000,4100000000.0,30528,67,1297,2043
BUL,Bulgaria,6782659,3187850,"2,611,324",61044,36950,3000,0,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,,0,0,0,0,6,3,0,17,2485350000,14277000000,219645000000,43698000000,107,3124000,2,78,4029,"19,512                        						
							km",4000,101000,15000000,20837000.0,2801000000.0,5663000000.0,20970000.0,20557000,2174000000.0,110880,354,1806,470
SRB,Serbia,6652212,3259584,"2,574,406",79827,22500,2000,600000,115,11,17,3,33,0,0,51,4,242,7190,96,150,73,30,,0,0,0,0,0,0,18,4,2770000000,21726000000,177093000000,30484000000,46,3230000,0,0,3333,"45,022                        						
							km",13000,88000,77500000,353376000.0,2939000000.0,48139000000.0,33219000.0,37828000,7112000000.0,77474,0,2322,587
DRC,Democratic Republic of the Congo,115403027,39237029,"31,389,623",2538867,166580,30800,10000,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,,0,0,0,0,0,0,16,0,960000000,7926000000,164367000000,3898125000,273,38546000,3,24,4007,"152,373                        						
							km",19000,35000,180000000,380000.0,380000.0,991090000.0,0.0,304000,987999000.0,2344858,37,10481,15000
CUB,Cuba,10966038,5921661,"4,737,328",142558,50000,40000,1145000,20,11,0,4,3,0,0,13,4,194,7792,140,364,200,19,,0,0,0,0,1,1,6,4,3301500000,36372600000,81165000000,10442000000,120,489000,34,65,8367,"60,000                        						
							km",34000,118000,124000000,659434000.0,659434000.0,70792000000.0,0.0,1000,0.0,110860,3735,29,240
SDN,Sudan,50467278,26747657,"17,108,407",1312149,300000,200000,17500,183,37,36,13,33,0,0,64,35,1055,8890,100,1150,800,10,,0,0,0,0,0,0,10,0,394700000,21650000000,94420000000,192348850,45,10949000,4,14,7251,"31,000                        						
							km",68000,129000,1250000000,0.0,0.0,84951000000.0,0.0,0,0.0,1861484,853,6819,4068
AST,Austria,8967982,4035592,"3,632,033",98648,25000,125600,0,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,,0,0,0,0,0,0,0,0,6103900800,693000000000,581131000000,35406000000,62,4768000,0,1,6123,"126,233                        						
							km",18000,244000,35200000,618209000.0,8136000000.0,5040000000.0,1288000.0,5403000,0.0,83871,0,2524,358
SRL,Sri Lanka,21982608,10551652,"8,551,235",307757,346000,90000,0,90,6,0,15,7,3,0,49,8,87,15021,0,96,28,275,32636.0,0,0,0,0,5,0,259,0,1500000000,42198000000,301407000000,6094000000,18,8499000,6,96,1562,"114,093                        						
							km",0,100000,0,0.0,0.0,0.0,0.0,2323000,0.0,65610,1340,0,160
SLK,Slovakia,5563649,2837461,"2,353,424",61200,20982,0,0,48,7,0,7,11,1,0,22,0,45,6636,35,9,25,0,,0,0,0,0,0,0,0,0,2900000000,140360000000,218762000000,14452000000,116,2779000,0,0,3627,"45,106                        						
							km",7000,90000,9000000,52556000.0,60424000.0,14158000000.0,2315000.0,6066000,19000000.0,49035,0,1587,172
BLR,Belarus,9501451,5035769,"3,724,569",104516,63000,365400,55000,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,,0,0,0,0,0,0,0,0,1034784000,18010000000,265220000000,8912000000,46,4817000,0,4,5528,"86,600                        						
							km",30000,125000,198000000,73929000.0,16683000000.0,2832000000.0,0.0,710000,0.0,207600,0,3599,2500
QTR,Qatar,2552088,638022,"490,001",12760,26550,4000,5500,263,115,6,12,45,0,0,85,24,62,5576,46,12,16,125,,0,0,0,0,0,4,107,0,11950000000,205700000000,317064000000,53987000000,8,2123000,6,123,0,"7,039                        						
							km",1818000,268000,25244000,169595000000.0,41515000000.0,23861000000000.0,0.0,0,0.0,11586,563,87,0
ECU,Ecuador,18309984,8422593,"6,738,074",329580,41250,118000,1500,99,0,0,20,34,8,0,43,0,202,5322,5,106,24,30,,0,0,2,0,2,6,5,0,2963400000,39658000000,252728000000,6908000000,317,8821000,6,154,965,"43,950                        						
							km",480000,272000,8273000000,309778000.0,309778000.0,10902000000.0,0.0,14000,24000000.0,283560,2237,2237,1500
CRO,Croatia,4150116,2033557,"1,564,594",53952,14325,20100,2000,67,12,0,0,26,0,0,37,0,55,4874,25,42,42,30,,0,0,0,0,0,0,11,1,2744000000,60500000000,164825000000,3336000000,45,1733000,16,384,2617,"26,958                        						
							km",11000,70000,71000000,741456000.0,2502000000.0,24919000000.0,0.0,596000,0.0,56594,5835,2237,4714
JOR,Jordan,11174024,3463947,"2,983,464",145262,114500,100000,35000,279,44,10,12,66,11,0,159,44,1508,25278,478,80,84,27,,0,0,0,0,0,0,27,0,2668500000,21058000000,109986000000,21939000000,18,3080000,1,34,509,"7,203                        						
							km",20,97000,1000000,187262000.0,4382000000.0,6031000000.0,0.0,269000,0.0,89342,26,1744,0
BAH,Bahrain,1566888,846120,"720,768",17236,18400,110000,1500,137,28,0,3,40,0,0,66,34,150,5196,38,26,18,64,,0,0,0,0,2,2,50,0,997015509,54450000000,93937000000,4949000000,3,913300,4,184,0,"4,122                        						
							km",190000,72000,186500000,18005000000.0,17924000000.0,81382000000.0,0.0,0,0.0,760,161,0,0
KUW,Kuwait,3138355,1726095,"1,449,920",37660,78000,24000,7500,133,47,0,2,13,0,3,68,16,367,7472,51,0,27,123,,0,0,0,0,0,0,106,0,7987000000,60500000000,225947000000,50728000000,6,3003000,6,176,0,"5,749                        						
							km",2910000,430000,101500000000,19285000000.0,26083000000.0,1784000000000.0,0.0,60000,0.0,17818,499,475,0
ALB,Albania,3107100,1522479,"1,292,554",62142,7500,0,500,20,0,0,1,0,0,0,19,0,0,1492,10,0,270,33,,0,0,0,0,0,0,33,0,720037190,5363000000,51360000000,6516000000,3,1370000,3,69,424,"3,581                        						
							km",14000,21000,150000000,50623000.0,50623000.0,5692000000.0,473000.0,255000,522000000.0,28748,362,691,41
TKM,Turkmenistan,5744151,2768681,"2,245,963",109139,36500,0,3500,91,22,27,5,11,0,0,26,10,654,11588,73,457,164,16,,0,0,0,0,0,0,16,0,1463000000,3696000000,134555000000,21073860000,23,2445000,0,73,5113,"58,592                        						
							km",272000,152000,600000000,86472000000.0,41561000000.0,11327000000000.0,0.0,0,799999000.0,488100,1768,4158,1300
TUN,Tunisia,12048847,6024424,"5,181,004",204830,89800,0,12000,155,10,0,12,28,4,0,101,0,145,13927,0,105,0,37,,0,0,0,0,1,1,30,0,2172751250,21212000000,156086000000,9344000000,14,4247000,16,72,2173,"32,332                        						
							km",35000,104000,425000000,1323000000.0,5153000000.0,65129000000.0,0.0,2000,0.0,163610,1148,1495,0
LBY,Libya,7361263,3827857,"3,290,485",125141,32000,0,100000,83,10,1,12,35,0,0,22,4,55,2728,20,38,25,5,,0,0,0,0,1,0,2,0,1474800000,3654200000,90609000000,92894000000,75,2585000,14,96,0,"34,000                        						
							km",1245000,207000,48363000000,11832000000.0,9212000000.0,1505000000000.0,0.0,0,0.0,1759540,1770,4339,0
PAR,Paraguay,7522549,3535598,"3,001,497",150451,15650,168500,14800,49,0,4,12,14,1,0,18,0,10,2876,6,50,0,73,,0,0,0,0,0,0,64,0,416800000,13783000000,112919000000,9886000000,83,3502000,1,108,30,"78,811                        						
							km",2000,52000,0,0.0,0.0,0.0,0.0,700,0.0,406752,0,4655,3100
BOL,Bolivia,12311974,5417269,"4,112,199",233928,40000,40000,0,67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,,0,0,0,0,0,0,50,0,467670000,11174000000,122200000000,1977000000,201,6859000,0,50,3690,"90,568                        						
							km",58000,100000,240900000,13760000000.0,3055000000.0,302990000000.0,0.0,9000,1000000.0,1098581,0,7252,10000
CMB,Cambodia,17063669,8190561,"5,733,393",307146,124300,0,10000,24,0,0,4,0,0,0,20,0,520,5439,30,525,521,20,,0,0,0,0,0,0,20,0,750000000,8019000000,123676000000,22506000000,12,9904000,2,195,642,"61,810                        						
							km",0,77000,0,0.0,0.0,0.0,27000.0,4390000,0.0,181035,443,2530,3700
KEN,Kenya,58246378,21551160,"14,037,377",931942,50000,0,25000,154,17,0,21,30,2,0,84,2,188,9114,18,53,0,27,,0,0,0,0,0,0,18,0,1651803025,31451000000,328632000000,10067000000,368,23781000,4,26,3819,"161,452                        						
							km",0,113000,0,0.0,0.0,0.0,0.0,1453000,0.0,580367,536,3457,0
CHD,Chad,19093595,6873694,"3,856,906",381872,37750,0,5000,40,0,7,7,8,2,0,16,3,90,4345,10,13,16,0,,0,0,0,0,0,0,0,0,706800000,2286000000,52895000000,1050000000,44,6600000,0,0,0,"40,000                        						
							km",124000,15000,1500000000,0.0,0.0,0.0,0.0,0,0.0,1284000,0,6406,12400
OMA,Oman,3901992,1482757,"1,291,559",50726,100000,0,10000,128,29,10,9,45,4,0,31,0,264,11380,24,144,0,17,22490.0,0,0,0,0,0,5,8,0,8364000000,55986700000,193591000000,18287000000,37,2696000,7,57,0,"60,230                        						
							km",1056000,218000,5375000000,40754000000.0,27364000000.0,651287000000.0,0.0,82000,0.0,309500,2092,1561,0
SYR,Syria,23865423,15273871,"13,245,310",668232,100000,0,50000,104,52,5,2,8,0,0,39,7,168,18736,60,0,0,12,,0,0,0,0,0,0,8,0,145925000,4441250000,98858000000,307766250,42,6617000,3,24,2052,"69,873                        						
							km",65000,102000,2500000000,3085000000.0,3084000000.0,240693000000.0,0.0,15000,0.0,187437,193,2363,900
LIT,Lithuania,2628186,1708321,"1,332,490",36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,4553,16,54,0,13,,0,0,0,0,0,0,5,4,5651760000,48400000000,136227000000,7406000000,64,1548000,2,59,1911,"83,821                        						
							km",4000,67000,12000000,0.0,1601000000.0,0.0,0.0,166000,0.0,65300,90,1545,441
TNZ,Tanzania,67462121,12143182,"6,678,750",607159,25000,0,6500,38,11,0,6,6,0,0,15,0,200,8408,0,205,70,12,,0,0,0,0,0,0,10,0,1476113361,17513000000,246706000000,5371525000,206,32983000,8,381,4097,"145,203                        						
							km",0,85000,0,1808000000.0,1808000000.0,6513000000.0,2341000.0,740000,1410000000.0,947300,1424,4161,0
NWZ,New Zealand,5161211,2219321,"1,775,457",61935,10050,3300,300,47,0,0,7,13,6,0,21,0,0,3378,0,31,0,8,,0,0,0,0,2,0,4,0,2455949332,230651410000,257117000000,22065000000,206,3124000,22,117,4128,"94,000                        						
							km",12000,154000,40993000,3770000000.0,3819000000.0,31149000000.0,3011000.0,2696000,6750000000.0,268838,15134,0,0
SLN,Slovenia,2097893,1006989,"826,570",22867,7000,26000,5000,40,0,0,5,23,0,0,16,0,54,4636,17,18,0,3,,0,0,0,0,0,0,3,0,1782000000,60500000000,103118000000,2832000000,42,1058000,2,8,1207,"38,125                        						
							km",4,44000,0,3863000.0,840902000.0,0.0,2440000.0,2309000,95000000.0,20273,47,1211,710
MOZ,Mozambique,33350954,14674420,"7,770,772",533615,11200,0,3000,23,8,2,5,1,0,0,7,2,60,3488,0,104,12,36,,0,0,0,0,0,0,36,0,480000000,8274000000,51786000000,3843000000,92,15173000,11,36,4787,"30,562                        						
							km",0,42000,0,5388000000.0,1347000000.0,2832000000000.0,10583000.0,13000,1792000000.0,799380,2470,4783,460
MGL,Mongolia,3281676,1870555,"1,552,233",62352,35000,230000,50000,8,0,0,3,2,0,0,3,0,420,11040,0,500,130,0,,0,0,0,0,0,0,0,0,1590000000,8379000000,59221000000,5508000000,37,1449000,0,318,1815,"113,200                        						
							km",15000,39000,0,0.0,0.0,0.0,68824000.0,8941000,2520000000.0,1564116,0,8082,580
IRE,Ireland,5233461,2407392,"1,999,182",57568,7557,1720,0,23,0,0,5,8,2,0,8,0,0,3296,0,0,0,8,,0,0,0,0,0,0,8,0,1754400500,3630000000000,620544000000,12698000000,100,2857000,21,94,1688,"102,227                        						
							km",600,159000,0,1447000000.0,5280000000.0,9911000000.0,0.0,1341000,40000000.0,70273,1448,443,956
GEO,Georgia,4900961,2744538,"2,225,036",93118,37000,205500,0,61,0,5,2,10,0,0,44,11,132,5974,67,121,42,19,,0,0,0,0,0,0,31,4,680000000,9085000000,91849000000,4447000000,21,1833000,3,26,1363,"40,044                        						
							km",300,34000,35000000,8760000.0,2796000000.0,8495000000.0,148000.0,384000,900999000.0,69700,310,1814,0
GUA,Guatemala,18255216,7484639,"6,279,794",182552,106114,90000,35000,35,0,3,10,0,2,0,20,0,0,3268,0,110,0,25,,0,0,0,0,0,0,20,0,616000000,11862000000,232673000000,24412000000,58,7575000,3,9,800,"17,440                        						
							km",6000,117000,86110000,3276000.0,2986000.0,0.0,0.0,1012000,0.0,108889,400,1667,990
URU,Uruguay,3425330,1575652,"1,322,177",54805,24000,0,5000,43,0,6,6,12,5,2,12,0,62,5968,16,83,4,16,,0,0,0,0,0,0,5,2,1903440000,54450000000,108502000000,17378000000,65,1768000,8,58,1673,"77,732                        						
							km",400,50000,0,0.0,86037000.0,0.0,0.0,8000,0.0,176215,660,1591,1600
YEM,Yemen,32140443,12213368,"9,031,464",610668,33350,0,20000,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,,0,0,0,0,0,1,9,0,405187500,6492000000,18719000000,831025575,37,7848000,10,30,0,"71,300                        						
							km",15000,58000,3000000000,189432000.0,189432000.0,478555000000.0,0.0,27000,0.0,527968,1906,1601,0
CAM,Cameroon,30966105,10528476,"6,224,187",495458,38000,0,9000,35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,,0,0,0,0,0,0,19,0,835694942,11112000000,143264000000,4882000000,37,11119000,7,198,987,"77,589                        						
							km",64000,41000,200000000,2595000000.0,877058000.0,135071000000.0,0.0,0,0.0,475440,400,5018,0
TJK,Tajikistan,10394063,4781269,"3,773,045",176699,150000,600000,20000,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,,0,0,0,0,0,0,0,0,450460000,3024000000,50370000000,3026450000,19,2780000,0,0,680,"30,000                        						
							km",300,31000,12000000,18476000.0,85567000.0,5663000000.0,2394000.0,2297000,4075000000.0,144100,0,4130,200
ARM,Armenia,2976765,1666988,"1,366,335",44651,65000,210000,5000,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,,0,0,0,0,0,0,0,0,1480000000,6002000000,60909000000,3685000000,11,1510000,0,0,686,"7,700                        						
							km",0,15000,0,0.0,2861000000.0,0.0,300.0,19000,317000000.0,29743,0,1570,0
LAT,Latvia,1801246,810561,"648,449",16211,17870,38000,12500,3,0,0,0,0,0,0,3,0,0,3410,47,0,0,18,,0,0,0,0,0,0,11,6,42000000,48598440000,72516000000,5141000000,55,954900,5,83,2216,"57,972                        						
							km",2000,33000,0,0.0,828214000.0,0.0,0.0,20000,0.0,64589,498,1370,300
HON,Honduras,9529188,4192843,"3,144,632",95292,52225,0,23000,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,,0,0,0,0,0,0,93,0,612300000,7785000000,71297000000,8036000000,129,4296000,8,489,699,"14,742                        						
							km",20,71000,0,0.0,0.0,0.0,0.0,144000,0.0,112090,832,1575,465
MAL,Mali,21990607,6817088,"4,288,168",351850,40000,0,4800,44,9,12,8,4,1,0,10,8,0,3717,0,50,30,0,,0,0,0,0,0,0,0,0,1110000000,4085000000,71253000000,647800000,30,9126000,0,0,593,"139,107                        						
							km",0,46000,0,0.0,0.0,0.0,0.0,0,0.0,1240192,0,7908,1800
ZIM,Zimbabwe,17150352,6517134,"3,721,626",360157,29000,0,21800,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,,0,0,0,0,0,0,0,0,1976800000,6671000000,57391000000,484973000,144,6386000,0,0,3427,"97,267                        						
							km",800,34000,0,0.0,0.0,0.0,7968000.0,6705000,502000000.0,390757,0,3229,0
EST,Estonia,1193791,584958,"456,028",13132,7700,230000,10000,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,,0,0,0,0,0,0,4,4,2375000000,29040000000,57001000000,2075000000,34,756200,20,72,1441,"89,382                        						
							km",24000,27000,0,0.0,354912000.0,0.0,0.0,800,0.0,45228,3794,657,335
UGA,Uganda,49283041,16756234,"9,905,891",985661,45000,0,10000,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,,0,0,0,0,0,0,0,0,1510000000,10469000000,144137000000,3432750000,39,22829000,0,0,1244,"20,544                        						
							km",0,44000,2500000000,0.0,0.0,14158000000.0,19.0,0,799999000.0,241038,0,2729,0
IVC,Ivory Coast,29981758,12292521,"7,855,221",569653,22000,0,5500,22,0,0,3,2,3,0,14,5,0,1328,0,4,6,8,,0,0,0,0,0,0,7,0,18200000,26576000000,215018000000,7583484000,29,12595000,5,25,660,"81,996                        						
							km",29000,87000,100000000,2635000000.0,2635000000.0,28317000000.0,0.0,0,0.0,322463,515,3458,980
KYR,Kyrgyzstan,6172101,3147772,"2,487,357",117270,23000,0,55000,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,,0,0,0,0,0,0,0,0,654000000,3617000000,50907000000,5089000000,28,3197000,0,0,424,"34,000                        						
							km",6000,31000,40000000,31026000.0,438000000.0,5663000000.0,3685000.0,4212000,28499000000.0,199951,0,4573,576
LUX,Luxembourg,671254,154388,"92,633",3356,1200,0,0,1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,,0,0,0,0,0,0,0,0,1530685000,5203000000000,86871000000,2789000000,3,350000,0,147,271,"2,746                        						
							km",0,51000,0,0.0,594240000.0,0.0,0.0,34000,0.0,2586,0,327,37
ZAM,Zambia,20799116,7279691,"4,139,024",374384,15150,0,1200,78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,,0,0,0,0,0,0,0,0,385321000,16597000000,79207000000,3017000000,120,7407000,0,2,3126,"67,671                        						
							km",0,34000,0,0.0,0.0,0.0,2091000.0,2081000,945000000.0,752618,0,6043,0
GHA,Ghana,34589092,14873310,"9,961,658",622604,15500,0,0,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,,0,0,0,0,0,0,20,0,954423756,29241000000,243124000000,3624000000,11,13927000,4,52,947,"65,725                        						
							km",176000,96000,660000000,3192000000.0,3912000000.0,22653000000.0,0.0,51000,0.0,238533,539,2420,1293
SSD,South Sudan,12703714,6351857,"4,065,188",330297,185000,0,0,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,,0,0,0,0,0,0,0,0,30700000,2722500000,6752000000,128248000,89,5091000,0,0,248,"90,200                        						
							km",146000,11000,3750000000,0.0,0.0,0.0,0.0,0,0.0,644329,0,6018,0
MAC,North Macedonia,2135622,948216,"783,773",27763,10010,60000,3500,20,0,0,0,10,0,0,10,4,0,1878,0,156,18,0,,0,0,0,0,0,0,0,0,421527100,5637000000,43844000000,5252000000,13,779200,0,0,699,"15,170                        						
							km",0,24000,0,0.0,274928000.0,0.0,4000000.0,5344000,332000000.0,25713,0,838,0
DOM,Dominican Republic,10815857,4975294,"4,034,315",97343,89000,189000,30000,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,,0,0,0,0,0,0,14,0,903000000,35044000000,276884000000,13471000000,32,5413000,17,40,496,"19,705                        						
							km",0,146000,0,0.0,2440000000.0,0.0,0.0,2356000,0.0,48320,1288,376,0
NIC,Nicaragua,6676948,3271705,"2,777,610",146893,45000,0,5500,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,,0,0,0,0,0,0,23,0,1311600000,6753000000,52989000000,6105000000,39,3225000,5,5,0,"24,033                        						
							km",200,28000,0,0.0,0.0,0.0,0.0,0,0.0,130370,910,1253,2220
ROC,Republic of the Congo,6097665,2256136,"1,353,682",115856,10000,0,2500,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,,0,0,0,0,0,0,0,0,933360000,6360000000,39147000000,715391000,56,2563000,5,11,510,"23,324                        						
							km",267000,13000,2885000000,423000000.0,423000000.0,283990000000.0,0.0,0,0.0,342000,169,5008,1120
LEB,Lebanon,5364482,2092148,"1,775,644",69738,80000,15000,65000,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,,0,0,0,0,0,0,42,0,800000000,41619000000,65415000000,33301000000,8,1939000,5,51,401,"21,705                        						
							km",0,115000,0,0.0,0.0,0.0,0.0,166000,0.0,10400,225,484,0
ERI,Eritrea,6343956,2220385,"1,598,677",76127,350000,680000,0,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,,0,0,0,0,0,0,18,0,219000000,461376000,2534000000,191694000,11,1710000,2,9,306,"16,000                        						
							km",0,5000,0,0.0,0.0,0.0,0.0,0,0.0,117600,2234,1840,0
NGR,Niger,26342784,7902835,"5,294,900",447827,25000,0,5000,26,0,2,7,0,2,0,13,2,0,1550,0,0,0,0,,0,0,0,0,0,0,0,0,488400000,3793000000,47921000000,1442772000,26,10486000,0,0,0,"18,949                        						
							km",13000,18000,150000000,29509000.0,29858000.0,0.0,427000.0,426000,90000000.0,1267000,0,5834,300
AFG,Afghanistan,40121552,15647405,"8,826,741",842553,75000,0,90000,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,,0,0,0,0,0,0,0,0,145000000,1929750000,82238000000,8852092000,68,9133000,0,0,0,"34,903                        						
							km",0,58000,0,80200000.0,80200000.0,49554000000.0,767000.0,503000,66000000.0,652230,0,5987,1200
NAM,Namibia,2803660,616805,"400,923",30840,17567,0,5000,36,11,0,5,13,0,0,7,2,7,2402,0,50,55,15,,0,0,0,0,0,2,15,0,450498000,9680000000,31154000000,3356000000,259,1131000,2,15,2628,"48,875                        						
							km",0,23000,0,0.0,0.0,62297000000.0,0.0,24000,350000000.0,824292,1572,4220,0
MAU,Mauritania,4328040,1687936,"1,181,555",82233,31540,66000,5000,23,0,4,7,6,2,0,4,0,51,5024,0,75,0,6,,0,0,0,0,0,0,6,0,270625000,3072000000,33069000000,2039000000,25,1210000,2,11,728,"12,253                        						
							km",0,32000,20000000,0.0,0.0,28317000000.0,0.0,0,0.0,1030700,754,5002,1086
NEP,Nepal,31122387,15249970,"11,733,140",778060,98500,82000,15000,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,0,431355326,5719000000,149643000000,12456000000,51,8435000,0,0,59,"64,500                        						
							km",0,71000,0,0.0,0.0,0.0,9000.0,1091000,8000000.0,147181,0,3159,0
LAO,Laos,7953556,3499565,"2,521,277",159071,100000,30000,120000,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,,0,0,0,0,0,0,47,0,355600000,9619000000,66905000000,1770000000,20,3585000,0,1,422,"59,647                        						
							km",0,25000,0,0.0,0.0,0.0,16629000.0,15944000,62000000.0,236800,0,5274,4600
SEN,Senegal,18847519,7162057,"4,089,912",395798,17000,0,0,39,0,0,5,22,1,0,19,5,0,1860,0,20,6,4,,0,0,0,0,0,0,4,0,777800000,14985000000,83183000000,889295000,20,5763000,6,36,906,"16,665                        						
							km",9000,65000,0,54646000.0,54498000.0,0.0,0.0,138000,0.0,196722,531,2684,1000
BKF,Burkina Faso,23042199,8525614,"6,060,098",368675,7500,0,4500,26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,,0,0,0,0,0,0,0,0,4590000000,3565000000,60001000000,47138000,49,6461000,0,0,622,"15,304                        						
							km",0,37000,0,0.0,0.0,0.0,0.0,0,0.0,274200,0,3611,0
MTN,Montenegro,599849,143964,"85,179",3599,2350,0,5500,10,0,0,0,0,0,0,10,0,0,946,0,12,12,20,,0,0,0,0,0,0,14,0,204000000,3643000000,17375000000,1741000000,5,245300,4,18,250,"7,762                        						
							km",0,9000,0,0.0,0.0,0.0,1862000.0,1658000,337000000.0,13812,294,680,0
ESL,El Salvador,6628702,3181777,"2,512,278",145831,25000,0,15000,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,,0,0,0,0,0,0,8,0,1037200000,12668000000,73961000000,3705000000,27,2890000,3,5,13,"9,012                        						
							km",3,56000,0,0.0,226472.0,0.0,0.0,500,0.0,21041,307,590,422
