country,power_index_rank,total_military_manpower,total_military_aircraft,tanks,total_naval_fleet,defense_budget_usd,purchasing_power_parity_usd,assets_per_capita,budget_to_gdp_ratio,power_index_rank_gap,region,alliance_flag
Finland,48,2306830.0,162.0,200.0,165.0,8890000000.0,313591000000.0,0.00022845203157579883,0.028349027873886688,47,Europe,NATO
France,6,30084820.0,974.0,427.0,166.0,67232395000.0,3732000000000.0,5.2086068655222135e-05,0.018015111200428726,5,Europe,NATO
Gabon,132,932940.0,25.0,0.0,5.0,340950000.0,48045000000.0,3.2156408772268315e-05,0.0070964720574461446,131,Africa,Non-NATO
Georgia,95,2744538.0,61.0,132.0,19.0,680000000.0,91849000000.0,7.724433037545846e-05,0.007403455671809165,94,Asia,Non-NATO
Germany,12,38694786.0,569.0,296.0,96.0,127400090000.0,5247000000000.0,2.4835387382682513e-05,0.024280558414332,11,Europe,NATO
Ghana,112,14873310.0,18.0,0.0,20.0,954423756.0,243124000000.0,2.5549121211082132e-06,0.003925666556983268,111,Africa,Non-NATO
Greece,30,4916713.0,560.0,1344.0,186.0,8242150000.0,192205000000.0,0.00042508073991709503,0.04288207903020213,29,Europe,NATO
Guatemala,96,7484639.0,35.0,0.0,25.0,616000000.0,232673000000.0,8.016418694341837e-06,0.0026474924035019103,95,North America,Non-NATO
Honduras,103,4192843.0,45.0,22.0,98.0,612300000.0,71297000000.0,3.935277328533408e-05,0.008588019131239744,102,North America,Non-NATO
Hungary,57,4632200.0,80.0,220.0,0.0,5887250000.0,389207000000.0,6.476404300332455e-05,0.015126269568635713,56,Europe,NATO
Iceland,134,83728.0,0.0,0.0,0.0,500000000.0,26561000000.0,0.0,0.01882459244757351,133,Europe,NATO
India,4,662290299.0,2183.0,3913.0,343.0,109000000000.0,14244000000000.0,9.722322687984895e-06,0.007652344846953103,3,Asia,Non-NATO
Indonesia,13,137965608.0,460.0,331.0,338.0,11155297716.0,4102000000000.0,8.18319881575124e-06,0.002719477746465139,12,Asia,Non-NATO
Iran,16,49496685.0,551.0,2675.0,109.0,9230000000.0,1486000000000.0,6.737824967470043e-05,0.006211305518169583,15,Asia,Non-NATO
Iraq,44,17675043.0,360.0,1188.0,67.0,8000000000.0,585887000000.0,9.137177205170024e-05,0.013654510170049856,43,Asia,Non-NATO
Ireland,94,2407392.0,23.0,0.0,8.0,1754400500.0,620544000000.0,1.2877005489758212e-05,0.002827197587922855,93,Europe,Non-NATO
Israel,15,3949099.0,597.0,1300.0,82.0,34600000000.0,472177000000.0,0.000501126965923113,0.07327760564364634,14,Asia,Non-NATO
Italy,10,27434219.0,714.0,203.0,285.0,37325165000.0,3133000000000.0,4.3813895339976694e-05,0.011913554101500159,9,Europe,NATO
Ivory Coast,108,12292521.0,22.0,0.0,8.0,18200000.0,215018000000.0,2.4405083383628144e-06,8.464407630989033e-05,107,Unknown,Non-NATO
Japan,7,52976836.0,1429.0,734.0,158.0,58000000000.0,5715000000000.0,4.381160097971876e-05,0.010148731408573928,6,Asia,Non-NATO
Jordan,74,3463947.0,279.0,1508.0,27.0,2668500000.0,109986000000.0,0.0005236800678532321,0.02426217882275926,73,Asia,Non-NATO
Kazakhstan,58,9117003.0,168.0,353.0,26.0,5836386000.0,739385000000.0,5.99977865533224e-05,0.007893568303387274,57,Asia,Non-NATO
Kenya,84,21551160.0,154.0,188.0,27.0,1651803025.0,328632000000.0,1.7122048186733337e-05,0.005026300010345919,83,Africa,Non-NATO
Kosovo,139,917371.0,0.0,0.0,0.0,1177450000.0,25019000000.0,0.0,0.04706223270314561,138,Unknown,Non-NATO
Kuwait,76,1726095.0,133.0,367.0,123.0,7987000000.0,225947000000.0,0.0003609303080073808,0.035348997773814214,75,Asia,Non-NATO
Kyrgyzstan,109,3147772.0,7.0,215.0,0.0,654000000.0,50907000000.0,7.052607368005053e-05,0.012846956214273087,108,Asia,Non-NATO
Laos,125,3499565.0,29.0,160.0,51.0,355600000.0,66905000000.0,6.857995207975848e-05,0.005314998879007548,124,Asia,Non-NATO
Latvia,102,810561.0,3.0,0.0,18.0,42000000.0,72516000000.0,2.590798224933102e-05,0.0005791825252358101,101,Europe,NATO
Lebanon,118,2092148.0,80.0,334.0,48.0,800000000.0,65415000000.0,0.00022082567772452045,0.012229610945501797,117,Asia,Non-NATO
Liberia,141,2392390.0,0.0,0.0,6.0,20700000.0,9308000000.0,2.507952298747278e-06,0.0022238934250107434,140,Africa,Non-NATO
Libya,80,3827857.0,83.0,55.0,5.0,1474800000.0,90609000000.0,3.7357717385994306e-05,0.016276528821640233,79,Africa,Non-NATO
Lithuania,88,1708321.0,9.0,0.0,13.0,5651760000.0,136227000000.0,1.287814175438925e-05,0.04148781078640798,87,Europe,NATO
Luxembourg,110,154388.0,1.0,0.0,0.0,1530685000.0,86871000000.0,6.4771873461668e-06,0.017620206973558494,109,Europe,NATO
Madagascar,131,11192031.0,6.0,12.0,7.0,147630000.0,52968000000.0,2.233732197489446e-06,0.0027871545083824195,130,Africa,Non-NATO
Malaysia,42,16245461.0,132.0,48.0,100.0,5100000000.0,1212000000000.0,1.7235583526992554e-05,0.004207920792079208,41,Asia,Non-NATO
Mali,104,6817088.0,44.0,0.0,0.0,1110000000.0,71253000000.0,6.454368786203141e-06,0.015578291440360405,103,Africa,Non-NATO
Mauritania,123,1687936.0,23.0,51.0,6.0,270625000.0,33069000000.0,4.7395161901873055e-05,0.008183646315280171,122,Africa,Non-NATO
Mexico,36,61447766.0,424.0,0.0,164.0,9100000000.0,2883000000000.0,9.569102967876814e-06,0.0031564342698577872,35,North America,Non-NATO
Moldova,136,2159717.0,3.0,0.0,0.0,114114000.0,39342000000.0,1.3890708828980834e-06,0.0029005642824462404,135,Europe,Non-NATO
Mongolia,93,1870555.0,8.0,420.0,0.0,1590000000.0,59221000000.0,0.0002288090967653985,0.026848584117120617,92,Asia,Non-NATO
Montenegro,128,143964.0,10.0,0.0,20.0,204000000.0,17375000000.0,0.00020838542969075602,0.011741007194244604,127,Europe,NATO
Morocco,56,17946041.0,271.0,1346.0,100.0,16100000000.0,350594000000.0,9.567569805507522e-05,0.045922063697610344,55,Africa,Non-NATO
Mozambique,92,14674420.0,23.0,60.0,36.0,480000000.0,51786000000.0,8.109349466622871e-06,0.00926891437840343,91,Africa,Non-NATO
Myanmar,35,30489384.0,331.0,1040.0,239.0,2815031361.0,287559000000.0,5.280526494074134e-05,0.00978940447351674,34,Asia,Non-NATO
Namibia,122,616805.0,36.0,7.0,15.0,450498000.0,31154000000.0,9.403296017379885e-05,0.014460358220453232,121,Africa,Non-NATO
Nepal,124,15249970.0,17.0,0.0,0.0,431355326.0,149643000000.0,1.1147562913238519e-06,0.0028825626724938687,123,Asia,Non-NATO
Netherlands,34,7997570.0,130.0,18.0,140.0,31791150000.0,1276000000000.0,3.601093832251547e-05,0.024914694357366773,33,Europe,NATO
New Zealand,90,2219321.0,47.0,0.0,8.0,2455949332.0,257117000000.0,2.4782354603052014e-05,0.009551874562942162,89,Oceania,Non-NATO
Nicaragua,116,3271705.0,17.0,186.0,23.0,1311600000.0,52989000000.0,6.907713256543606e-05,0.024752307082602048,115,North America,Non-NATO
Niger,120,7902835.0,26.0,0.0,0.0,488400000.0,47921000000.0,3.2899586034631874e-06,0.010191773961311325,119,Africa,Non-NATO
Nigeria,33,125475979.0,159.0,330.0,152.0,3900000000.0,1318000000000.0,5.108547509320489e-06,0.002959028831562974,32,Africa,Non-NATO
North Korea,31,9467520.0,837.0,4895.0,332.0,4750000000.0,15416000000.0,0.000640505644561617,0.3081214322781526,30,Asia,Non-NATO
North Macedonia,114,948216.0,20.0,0.0,0.0,421527100.0,43844000000.0,2.1092240586533027e-05,0.009614248243773379,113,Europe,NATO
Norway,39,2203893.0,109.0,36.0,48.0,11189483200.0,507680000000.0,8.757230954497337e-05,0.022040425464859754,38,Europe,NATO
Oman,86,1482757.0,128.0,264.0,17.0,8364000000.0,193591000000.0,0.0002758375107991397,0.04320448781193341,85,Asia,Non-NATO
Pakistan,14,108516336.0,1397.0,2677.0,120.0,9102115350.0,1390000000000.0,3.864855886767132e-05,0.006548284424460432,13,Asia,Non-NATO
Panama,135,2011608.0,38.0,0.0,22.0,1069750000.0,164484000000.0,2.982688476084804e-05,0.0065036720896865345,134,North America,Non-NATO
Paraguay,81,3535598.0,49.0,10.0,73.0,416800000.0,112919000000.0,3.73345612255692e-05,0.0036911414376677087,80,South America,Non-NATO
Peru,50,15648120.0,252.0,355.0,78.0,2552000000.0,535911000000.0,4.3775226672597095e-05,0.004761984732539545,49,South America,Non-NATO
Philippines,41,50859137.0,204.0,18.0,127.0,6571641011.0,1202000000000.0,6.862090483367817e-06,0.0054672554168053245,40,Asia,Non-NATO
Poland,21,18985692.0,457.0,798.0,63.0,55865141600.0,1649000000000.0,6.942069849231727e-05,0.03387819381443299,20,Europe,NATO
Portugal,38,5319863.0,128.0,34.0,128.0,6760000000.0,556942000000.0,5.4512681999517653e-05,0.012137709133087466,37,Europe,NATO
Qatar,71,638022.0,263.0,62.0,125.0,11950000000.0,317064000000.0,0.000705304832748714,0.03768955163626271,70,Asia,Non-NATO
Republic of the Congo,117,2256136.0,14.0,61.0,4.0,933360000.0,39147000000.0,3.501561962576724e-05,0.023842440033719058,116,Africa,Non-NATO
Romania,52,9437041.0,148.0,451.0,18.0,10230630000.0,774376000000.0,6.538066328206056e-05,0.013211450251557382,51,Europe,NATO
Russia,2,69002197.0,4237.0,5630.0,747.0,212638272000.0,6089000000000.0,0.00015382118920068588,0.034921706684184595,1,Unknown,Non-NATO
Saudi Arabia,25,19003104.0,917.0,1085.0,32.0,63988055520.0,2213000000000.0,0.00010703514541624358,0.028914620659737912,24,Asia,Non-NATO
Senegal,126,7162057.0,39.0,0.0,4.0,777800000.0,83183000000.0,6.003861739720865e-06,0.009350468244713464,125,Africa,Non-NATO
Serbia,63,3259584.0,115.0,242.0,30.0,2770000000.0,177093000000.0,0.00011872680685633504,0.015641499099343283,62,Europe,Non-NATO
Sierra Leone,140,2006631.0,1.0,0.0,10.0,450000000.0,26728000000.0,5.481825009182057e-06,0.016836276563903022,139,Africa,Non-NATO
Singapore,29,3918498.0,235.0,170.0,101.0,18000000000.0,800304000000.0,0.0001291311109511859,0.022491453247765848,28,Asia,Non-NATO
Slovakia,69,2837461.0,48.0,45.0,0.0,2900000000.0,218762000000.0,3.277578088297954e-05,0.013256415648055879,68,Europe,NATO
Slovenia,91,1006989.0,40.0,54.0,3.0,1782000000.0,103118000000.0,9.632677218916989e-05,0.017281173025078065,90,Europe,NATO
Somalia,137,2993973.0,6.0,0.0,19.0,870000000.0,26770000000.0,8.350108701715079e-06,0.032499066118789686,136,Africa,Non-NATO
South Africa,40,27803618.0,181.0,248.0,63.0,2877000000.0,870420000000.0,1.769553876045916e-05,0.003305300889225891,39,Africa,Non-NATO
South Korea,5,26040900.0,1540.0,1831.0,215.0,44800000000.0,2607000000000.0,0.00013770645407800805,0.01718450326045263,4,Asia,Non-NATO
South Sudan,113,6351857.0,19.0,122.0,0.0,30700000.0,6752000000.0,2.2198232737292417e-05,0.004546800947867299,112,Africa,Non-NATO
Spain,18,21748999.0,440.0,298.0,175.0,39000676350.0,2361000000000.0,4.197894349068663e-05,0.01651871086404066,17,Europe,NATO
Sri Lanka,68,10551652.0,90.0,87.0,275.0,1500000000.0,301407000000.0,4.283689416595619e-05,0.004976659467099304,67,Asia,Non-NATO
Sudan,66,26747657.0,183.0,1055.0,10.0,394700000.0,94420000000.0,4.665829235061598e-05,0.004180258419826308,65,Africa,Non-NATO
Suriname,142,142287.0,3.0,0.0,17.0,58440000.0,12316000000.0,0.00014056097886665684,0.004745047093212082,141,South America,Non-NATO
Sweden,26,4235934.0,172.0,110.0,279.0,15900000000.0,668628000000.0,0.00013243832410986573,0.02378003912489456,25,Europe,NATO
Switzerland,46,3898653.0,141.0,134.0,0.0,8372658426.0,741035000000.0,7.053718297063114e-05,0.011298600506048972,45,Europe,Non-NATO
Syria,87,15273871.0,104.0,168.0,12.0,145925000.0,98858000000.0,1.859384565968902e-05,0.00147610714357968,86,Asia,Non-NATO
Taiwan,22,12269542.0,720.0,1090.0,91.0,31180000000.0,1743000000000.0,0.00015493650863251457,0.017888697647733792,21,Asia,Non-NATO
Tajikistan,100,4781269.0,25.0,38.0,0.0,450460000.0,50370000000.0,1.3176418227043908e-05,0.008943021639864998,99,Asia,Non-NATO
Tanzania,89,12143182.0,38.0,200.0,12.0,1476113361.0,246706000000.0,2.058768451300491e-05,0.005983289263333685,88,Africa,Non-NATO
Thailand,24,36358919.0,496.0,744.0,304.0,6006660000.0,1558000000000.0,4.2465508944311575e-05,0.0038553658536585366,23,Asia,Non-NATO
Tunisia,79,6024424.0,155.0,145.0,37.0,2172751250.0,156086000000.0,5.593895781571815e-05,0.013920218661507118,78,Africa,Non-NATO
Turkiye,9,42985080.0,1101.0,2284.0,192.0,51400000000.0,3018000000000.0,8.321492015369054e-05,0.0170311464546057,8,Unknown,Non-NATO
Turkmenistan,78,2768681.0,91.0,654.0,16.0,1463000000.0,134555000000.0,0.0002748601229249596,0.010872877262086135,77,Asia,Non-NATO
Uganda,107,16756234.0,51.0,259.0,0.0,1510000000.0,144137000000.0,1.850057715832806e-05,0.010476144223898098,106,Africa,Non-NATO
Ukraine,20,18187531.0,347.0,1121.0,169.0,45000000000.0,577583000000.0,9.000671943871876e-05,0.07791088034100727,19,Europe,Non-NATO
United Arab Emirates,54,5818684.0,581.0,354.0,84.0,23480000000.0,745994000000.0,0.00017512550947946305,0.03147478397949582,53,Asia,Non-NATO
United Kingdom,8,31491165.0,625.0,288.0,116.0,88526529585.0,3636000000000.0,3.267583145939504e-05,0.02434723035891089,7,Europe,NATO
United States,1,150463900.0,13032.0,4666.0,465.0,831500000000.0,25676000000000.0,0.00012071334054214997,0.03238432777691229,0,North America,NATO
Uruguay,97,1575652.0,43.0,62.0,16.0,1903440000.0,108502000000.0,7.679360671011111e-05,0.017542902434978157,96,South America,Non-NATO
Uzbekistan,53,18990708.0,159.0,470.0,0.0,6210000000.0,379989000000.0,3.3121461295703144e-05,0.016342578337793987,52,Asia,Non-NATO
Venezuela,51,15625153.0,224.0,282.0,41.0,6060000000.0,110943000000.0,3.500765720502065e-05,0.05462264406046348,50,South America,Non-NATO
Vietnam,23,54994667.0,265.0,1999.0,116.0,10200000000.0,1456000000000.0,4.327692356060634e-05,0.007005494505494506,22,Asia,Non-NATO
Yemen,98,12213368.0,160.0,0.0,26.0,405187500.0,18719000000.0,1.5229214414893581e-05,0.021645787702334527,97,Asia,Non-NATO
Zambia,111,7279691.0,78.0,75.0,0.0,385321000.0,79207000000.0,2.1017375600145667e-05,0.004864734177534814,110,Africa,Non-NATO
Zimbabwe,105,6517134.0,80.0,60.0,0.0,1976800000.0,57391000000.0,2.1481835420293646e-05,0.034444425084072416,104,Africa,Non-NATO
