country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Zambia Military Strength,111,2.4461,103,116,126,60,38,999,111,145,62,68,70,57,"16,350",122,145,53,66,103,145,"369,658",73,145,145,38,48,145,145,67,145,77,131,66,74,51,,,,,,,,,,145,25,"-34,000 bbl",145,145,1,0 cu.m,145,49,56,"+10,000 mt",45,46,68,116,145,39,74,58,
2026Niger Military Strength,120,2.6867,125,127,115,23,21,999,105,87,55,65,65,50,"30,000",101,145,45,82,111,145,"442,173",92,145,46,44,145,29,145,83,43,145,115,145,145,145,,,,,,,,,,65,12,"-5,000 bbl",53,83,6,"-349,000 cu.m",145,68,36,"+1,000 mt",67,54,54,145,145,89,113,145,
2026Sierra Leone Military Strength,140,3.9201,133,138,120,6,113,22,22,69,93,121,127,127,"13,000",125,145,145,106,106,83,"45,029",111,145,145,145,145,145,145,95,145,145,137,145,145,145,73,145,145,145,145,145,145,55,145,145,5,"-9,000 bbl",145,145,1,0 cu.m,145,145,1,0 mt,145,55,107,32,44,103,126,145,
2026North Korea Military Strength,31,0.5933,138,96,59,32,94,71,39,40,56,57,64,52,"1,980,000",5,15,15,6,6,12,"415,467",12,5,5,50,13,145,145,23,27,3,21,5,14,6,6,145,145,10,17,9,4,3,18,145,12,"-18,000 bbl",145,145,1,0 cu.m,145,19,96,"-178,000 mt",13,145,38,48,37,56,103,29,23
2026Afghanistan Military Strength,121,2.7342,101,84,136,8,41,999,109,58,36,43,49,26,"165,000",65,145,16,145,34,145,"831,916",108,145,145,49,145,145,145,93,145,145,96,145,145,145,,,,,,,,,,145,38,"-58,000 bbl",145,73,10,0 cu.m,57,64,38,"+264,000 mt",71,57,59,145,145,61,94,145,
2026Serbia Military Strength,63,1.2938,77,58,69,66,111,999,55,75,101,99,98,106,"624,500",109,90,5,71,104,145,"78,819",64,55,31,48,49,145,145,53,41,54,70,36,54,44,,,,,,,,,,65,47,"-75,000 bbl",63,67,44,"-2,585,624,000 cu.m",58,16,102,"-4,609,000 mt",15,16,97,145,145,74,88,57,
2026Central African Republic Military Strength,143,4.2381,143,140,129,2,45,999,107,37,109,116,125,97,"31,000",95,145,54,108,86,145,"100,433",105,145,40,145,145,145,145,145,145,145,140,145,145,145,,,,,,,,,,145,1,"-2,000 bbl",145,145,1,0 cu.m,145,145,1,0 mt,76,63,118,145,145,77,106,145,
2026Georgia Military Strength,95,2.0779,97,104,109,47,115,17,44,145,117,106,104,103,"242,500",85,33,145,71,28,145,"91,942",77,145,43,49,67,145,145,57,34,71,81,39,58,55,66,145,145,145,145,145,145,39,15,82,25,"-33,700 bbl",70,88,41,"-2,787,240,000 cu.m",74,70,35,"-236,000 mt",46,19,120,100,44,92,91,85,
2026Senegal Military Strength,126,2.8925,100,131,105,58,83,30,65,62,65,69,74,54,"17,000",117,145,145,87,100,78,"390,801",87,145,145,46,57,30,145,78,40,145,113,145,87,74,79,145,145,145,145,145,145,61,145,71,39,"-56,000 bbl",145,78,8,"+148,000 cu.m",145,145,28,"-138,000 mt",145,33,76,95,41,93,115,92,
2026Switzerland Military Strength,46,0.8396,38,4,41,133,126,999,42,57,95,93,91,100,"152,178",39,145,45,30,40,145,"96,236",57,40,145,35,44,28,145,61,145,70,73,31,145,145,,,,,,,,,,82,74,"-193,700 bbl",145,145,47,"-3,138,000,000 cu.m",145,145,26,"-126,000 mt",145,4,82,105,145,62,62,36,
