country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Bulgaria,36950.0,0.0,6724.0,5.0,4.0,1806.0,20557000.0,20970000.0,0.0,354.0,3.0,2485350000.0,0.0,14277000000.0,11.0,2611324.0,43698000000.0,6.0,0.0,3124000.0,2.0,17.0,2801000000.0,20837000.0,101000.0,4000.0,0.0,61044.0,2174000000.0,5663000000.0,15000000.0,219645000000.0,4029.0,3000.0,19512.0,24.0,48.0,0.0,0.0,0.0,334.0,110880.0,78.0,71.0,23.0,3187850.0,45.0,0.0,6782659.0,107.0,24.0,26.0,6.0,470.0
Burkina Faso,7500.0,0.0,876.0,3.0,5.0,3611.0,0.0,0.0,0.0,0.0,0.0,4590000000.0,0.0,3565000000.0,0.0,6060098.0,47138000.0,0.0,0.0,6461000.0,0.0,0.0,0.0,0.0,37000.0,0.0,4500.0,368675.0,0.0,0.0,0.0,60001000000.0,622.0,0.0,15304.0,9.0,0.0,2.0,0.0,0.0,0.0,274200.0,0.0,26.0,19.0,8525614.0,0.0,0.0,23042199.0,49.0,8.0,0.0,2.0,0.0
Cambodia,124300.0,0.0,5439.0,0.0,0.0,2530.0,4390000.0,27000.0,20.0,443.0,0.0,750000000.0,0.0,8019000000.0,0.0,5733393.0,22506000000.0,0.0,0.0,9904000.0,2.0,0.0,0.0,0.0,77000.0,0.0,10000.0,307146.0,0.0,0.0,0.0,123676000000.0,642.0,0.0,61810.0,521.0,30.0,0.0,0.0,0.0,520.0,181035.0,195.0,24.0,20.0,8190561.0,20.0,0.0,17063669.0,12.0,525.0,0.0,4.0,3700.0
Cameroon,38000.0,0.0,860.0,0.0,0.0,5018.0,0.0,0.0,19.0,400.0,0.0,835694942.0,0.0,11112000000.0,0.0,6224187.0,4882000000.0,0.0,0.0,11119000.0,7.0,0.0,877058000.0,2595000000.0,41000.0,64000.0,9000.0,495458.0,0.0,135071000000.0,200000000.0,143264000000.0,987.0,0.0,77589.0,20.0,18.0,2.0,0.0,0.0,0.0,475440.0,198.0,35.0,21.0,10528476.0,19.0,0.0,30966105.0,37.0,52.0,6.0,6.0,0.0
Canada,63500.0,0.0,21780.0,0.0,0.0,8893.0,20092000.0,50687000.0,17.0,202080.0,0.0,45824959620.0,0.0,2571113270000.0,66.0,13500595.0,119778000000.0,12.0,0.0,22868000.0,284.0,0.0,130316000000.0,187686000000.0,2377000.0,5688000.0,5500.0,426743.0,6582000000.0,2067126000000.0,170300000000.0,2341000000000.0,49422.0,23000.0,1042300.0,0.0,0.0,34.0,4.0,6.0,74.0,9984670.0,716.0,354.0,146.0,16681770.0,67.0,119637.0,38794813.0,1425.0,0.0,95.0,29.0,636.0
Central African Republic,30000.0,0.0,270.0,8.0,0.0,5920.0,0.0,0.0,0.0,0.0,0.0,300000000.0,0.0,724179000.0,0.0,1254512.0,374405000.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,2000.0,0.0,1000.0,101717.0,3000000.0,0.0,0.0,5926000000.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,622984.0,0.0,8.0,0.0,2203873.0,0.0,0.0,5650957.0,43.0,0.0,0.0,0.0,2800.0
Chad,37750.0,0.0,4345.0,7.0,3.0,6406.0,0.0,0.0,0.0,0.0,0.0,706800000.0,0.0,2286000000.0,0.0,3856906.0,1050000000.0,0.0,0.0,6600000.0,0.0,0.0,0.0,0.0,15000.0,124000.0,5000.0,381872.0,0.0,0.0,1500000000.0,52895000000.0,0.0,0.0,40000.0,16.0,10.0,2.0,0.0,0.0,90.0,1284000.0,0.0,40.0,16.0,6873694.0,0.0,0.0,19093595.0,44.0,13.0,8.0,7.0,12400.0
Chile,80000.0,0.0,7480.0,0.0,0.0,7801.0,8087000.0,474000.0,40.0,6435.0,0.0,6800000000.0,0.0,235950000000.0,45.0,7521855.0,44403000000.0,8.0,0.0,10088000.0,39.0,0.0,6916000000.0,1200000000.0,404000.0,11000.0,50000.0,298634.0,1181000000.0,97976000000.0,150000000.0,596556000000.0,7282.0,40000.0,77801.0,9.0,48.0,18.0,4.0,5.0,386.0,756102.0,249.0,274.0,86.0,8959033.0,130.0,176065.0,18664652.0,379.0,249.0,92.0,33.0,12290.0
China,2035000.0,3.0,152040.0,371.0,281.0,22457.0,5191000000.0,4805000000.0,150.0,14500.0,50.0,303000000000.0,53.0,488114000000.0,1443.0,626864169.0,3456000000000.0,46.0,4.0,773880000.0,66.0,36.0,366160000000.0,225341000000.0,16189000.0,4984000.0,625000.0,19810606.0,157041000000.0,6654000000000.0,26023000000.0,33598000000000.0,150000.0,510000.0,5200000.0,2770.0,2940.0,105.0,61.0,9.0,5870.0,9596960.0,8314.0,3529.0,1007.0,764123366.0,841.0,3192411.0,1415043270.0,552.0,1400.0,401.0,287.0,27700.0
Colombia,429000.0,0.0,12780.0,24.0,0.0,6672.0,9720000.0,52376000.0,158.0,3208.0,2.0,15800000000.0,0.0,108027000000.0,16.0,19190694.0,61898000000.0,9.0,0.0,26822000.0,14.0,0.0,11451000000.0,11290000000.0,374000.0,800000.0,150000.0,843002.0,4554000000.0,87782000000.0,2036000000.0,978024000000.0,2141.0,998000.0,206102.0,0.0,6.0,27.0,4.0,1.0,0.0,1138910.0,153.0,430.0,255.0,24298295.0,213.0,31090.0,49588357.0,661.0,110.0,72.0,82.0,24725.0
Croatia,14325.0,0.0,4874.0,0.0,0.0,2237.0,596000.0,0.0,11.0,5835.0,0.0,2744000000.0,0.0,60500000000.0,12.0,1564594.0,3336000000.0,0.0,0.0,1733000.0,16.0,1.0,2502000000.0,741456000.0,70000.0,11000.0,2000.0,53952.0,0.0,24919000000.0,71000000.0,164825000000.0,2617.0,20100.0,26958.0,42.0,25.0,0.0,0.0,0.0,55.0,56594.0,384.0,67.0,37.0,2033557.0,30.0,0.0,4150116.0,45.0,42.0,26.0,0.0,4714.0
Cuba,50000.0,0.0,7792.0,0.0,4.0,29.0,1000.0,0.0,6.0,3735.0,1.0,3301500000.0,0.0,36372600000.0,11.0,4737328.0,10442000000.0,1.0,0.0,489000.0,34.0,4.0,659434000.0,659434000.0,118000.0,34000.0,1145000.0,142558.0,0.0,70792000000.0,124000000.0,81165000000.0,8367.0,40000.0,60000.0,200.0,140.0,0.0,0.0,0.0,194.0,110860.0,65.0,20.0,13.0,5921661.0,19.0,0.0,10966038.0,120.0,364.0,3.0,4.0,240.0
Czechia,30334.0,0.0,6275.0,16.0,4.0,2046.0,33239000.0,31946000.0,0.0,0.0,0.0,9174000000.0,0.0,232320000000.0,12.0,4129236.0,146281000000.0,0.0,0.0,5541000.0,0.0,0.0,7602000000.0,224725000.0,219000.0,4000.0,0.0,97541.0,3595000000.0,3964000000.0,15000000.0,521928000000.0,9548.0,4900.0,129418.0,16.0,53.0,2.0,0.0,0.0,20.0,78867.0,0.0,103.0,42.0,5093808.0,0.0,0.0,10837890.0,252.0,0.0,21.0,10.0,664.0
Democratic Republic of the Congo,166580.0,0.0,7164.0,6.0,9.0,10481.0,304000.0,0.0,16.0,37.0,0.0,960000000.0,0.0,7926000000.0,0.0,31389623.0,3898125000.0,0.0,0.0,38546000.0,3.0,0.0,380000.0,380000.0,35000.0,19000.0,10000.0,2538867.0,987999000.0,991090000.0,180000000.0,164367000000.0,4007.0,30800.0,152373.0,81.0,16.0,0.0,0.0,0.0,212.0,2344858.0,24.0,56.0,38.0,39237029.0,16.0,0.0,115403027.0,273.0,125.0,2.0,10.0,15000.0
Denmark,21000.0,0.0,5930.0,19.0,0.0,140.0,1135000.0,0.0,9.0,7314.0,0.0,14250000000.0,0.0,611050000000.0,26.0,2126436.0,108405000000.0,9.0,0.0,3210000.0,69.0,6.0,2208000000.0,1879000000.0,151000.0,63000.0,51000.0,77651.0,0.0,29534000000.0,441000000.0,440558000000.0,2682.0,12000.0,73591.0,8.0,19.0,3.0,0.0,0.0,44.0,43094.0,715.0,122.0,34.0,2628180.0,50.0,121180.0,5973136.0,102.0,0.0,36.0,4.0,400.0
Dominican Republic,89000.0,0.0,930.0,8.0,0.0,376.0,2356000.0,0.0,14.0,1288.0,0.0,903000000.0,0.0,35044000000.0,0.0,4034315.0,13471000000.0,0.0,0.0,5413000.0,17.0,0.0,2440000000.0,0.0,146000.0,0.0,30000.0,97343.0,0.0,0.0,0.0,276884000000.0,496.0,189000.0,19705.0,0.0,0.0,1.0,0.0,0.0,6.0,48320.0,40.0,80.0,49.0,4975294.0,34.0,0.0,10815857.0,32.0,14.0,17.0,11.0,0.0
Ecuador,41250.0,0.0,5322.0,0.0,0.0,2237.0,14000.0,0.0,5.0,2237.0,6.0,2963400000.0,0.0,39658000000.0,0.0,6738074.0,6908000000.0,2.0,0.0,8821000.0,6.0,0.0,309778000.0,309778000.0,272000.0,480000.0,1500.0,329580.0,24000000.0,10902000000.0,8273000000.0,252728000000.0,965.0,118000.0,43950.0,24.0,5.0,8.0,2.0,0.0,202.0,283560.0,154.0,99.0,43.0,8422593.0,30.0,0.0,18309984.0,317.0,106.0,34.0,20.0,1500.0
Egypt,438500.0,0.0,54694.0,90.0,100.0,2612.0,3262000.0,69000.0,61.0,2450.0,7.0,5193500000.0,0.0,117272000000.0,242.0,38269053.0,44921000000.0,13.0,2.0,33749000.0,31.0,17.0,60089000000.0,64817000000.0,830000.0,667000.0,300000.0,1668709.0,182000000.0,1784000000000.0,3300000000.0,1958000000000.0,5085.0,479000.0,65050.0,648.0,1056.0,11.0,8.0,0.0,3620.0,1001450.0,441.0,1088.0,348.0,45611372.0,149.0,235989.0,111247248.0,73.0,962.0,344.0,53.0,3500.0
El Salvador,25000.0,0.0,2144.0,15.0,0.0,590.0,500.0,0.0,8.0,307.0,0.0,1037200000.0,0.0,12668000000.0,0.0,2512278.0,3705000000.0,0.0,0.0,2890000.0,3.0,0.0,226472.0,0.0,56000.0,3.0,15000.0,145831.0,0.0,0.0,0.0,73961000000.0,13.0,0.0,9012.0,0.0,0.0,0.0,0.0,0.0,0.0,21041.0,5.0,51.0,28.0,3181777.0,13.0,0.0,6628702.0,27.0,76.0,10.0,3.0,422.0
Eritrea,350000.0,0.0,1040.0,0.0,6.0,1840.0,0.0,0.0,18.0,2234.0,0.0,219000000.0,0.0,461376000.0,1.0,1598677.0,191694000.0,0.0,0.0,1710000.0,2.0,0.0,0.0,0.0,5000.0,0.0,0.0,76127.0,0.0,0.0,0.0,2534000000.0,306.0,680000.0,16000.0,44.0,45.0,0.0,0.0,0.0,148.0,117600.0,9.0,20.0,13.0,2220385.0,23.0,0.0,6343956.0,11.0,89.0,1.0,5.0,0.0
Estonia,7700.0,0.0,2579.0,0.0,0.0,657.0,800.0,0.0,4.0,3794.0,0.0,2375000000.0,0.0,29040000000.0,0.0,456028.0,2075000000.0,0.0,0.0,756200.0,20.0,4.0,354912000.0,0.0,27000.0,24000.0,10000.0,13132.0,0.0,0.0,0.0,57001000000.0,1441.0,230000.0,89382.0,6.0,48.0,0.0,0.0,0.0,0.0,45228.0,72.0,2.0,0.0,584958.0,8.0,0.0,1193791.0,34.0,0.0,0.0,2.0,335.0
Ethiopia,503000.0,0.0,8586.0,0.0,7.0,5925.0,1653000.0,456000.0,0.0,0.0,0.0,3720968976.0,0.0,25426000000.0,25.0,35327989.0,3784000000.0,0.0,0.0,54470000.0,0.0,0.0,0.0,0.0,102000.0,0.0,0.0,2726657.0,0.0,24919000000.0,428000.0,380895000000.0,659.0,138000.0,180000.0,79.0,142.0,0.0,0.0,0.0,338.0,1104300.0,12.0,104.0,33.0,56904143.0,0.0,0.0,118550298.0,58.0,469.0,34.0,9.0,0.0
Finland,24000.0,0.0,14866.0,0.0,0.0,2563.0,3933000.0,811000.0,8.0,1250.0,0.0,8890000000.0,0.0,726000000000.0,53.0,1912981.0,17993000000.0,0.0,0.0,2898000.0,37.0,18.0,1157000000.0,0.0,175000.0,8000.0,53800.0,56264.0,0.0,0.0,0.0,313591000000.0,5918.0,870000.0,108637.0,76.0,125.0,1.0,0.0,0.0,200.0,338145.0,282.0,162.0,27.0,2306830.0,165.0,19434.0,5626414.0,98.0,667.0,77.0,11.0,8000.0
France,264000.0,1.0,110784.0,0.0,67.0,4072.0,12570000.0,2157000.0,22.0,4853.0,0.0,67232395000.0,11.0,7691315390000.0,223.0,23794358.0,282857000000.0,5.0,3.0,31725000.0,66.0,19.0,37001000000.0,20132000.0,1536000.0,80000.0,150000.0,752121.0,160000000.0,7787000000.0,61719000.0,3732000000000.0,27860.0,43444.0,1053215.0,9.0,74.0,44.0,9.0,15.0,427.0,643801.0,553.0,974.0,452.0,30084820.0,166.0,487471.0,68374591.0,1218.0,0.0,140.0,118.0,8501.0
Gabon,5000.0,0.0,424.0,0.0,0.0,3261.0,0.0,0.0,4.0,885.0,0.0,340950000.0,0.0,6442000000.0,6.0,532758.0,1447000000.0,0.0,0.0,824400.0,9.0,0.0,463000000.0,463000000.0,14000.0,204000.0,2500.0,46647.0,0.0,25995000000.0,2000000000.0,48045000000.0,649.0,0.0,14300.0,28.0,0.0,0.0,0.0,0.0,0.0,267667.0,87.0,25.0,16.0,932940.0,5.0,0.0,2455105.0,42.0,4.0,0.0,3.0,1600.0
Georgia,37000.0,0.0,5974.0,5.0,11.0,1814.0,384000.0,148000.0,31.0,310.0,0.0,680000000.0,0.0,9085000000.0,0.0,2225036.0,4447000000.0,0.0,0.0,1833000.0,3.0,4.0,2796000000.0,8760000.0,34000.0,300.0,0.0,93118.0,900999000.0,8495000000.0,35000000.0,91849000000.0,1363.0,205500.0,40044.0,42.0,67.0,0.0,0.0,0.0,132.0,69700.0,26.0,61.0,44.0,2744538.0,19.0,0.0,4900961.0,21.0,121.0,10.0,2.0,0.0
