country,active_personnel,aircraft_carriers,aircraft_total,attack_helicopters,available_manpower,defense_budget,destroyers,fighters,foreign_exchange_gold,frigates,mlrs_rocket_artillery,natural_gas_consumption,natural_gas_production,oil_consumption,oil_production,oil_proven_reserves,power_index_rank,power_index_score,purchasing_power_parity,reserve_personnel,self_propelled_artillery,submarines,tanks,total_assets,total_population
Romania,59.0,145.0,56.0,145.0,58.0,34.0,145.0,43.0,38.0,16.0,21.0,65.0,41.0,80.0,48.0,39.0,52.0,0.9558,35.0,54.0,145.0,145.0,31.0,67.0,69.0
Russia,4.0,4.0,2.0,2.0,9.0,3.0,5.0,3.0,6.0,7.0,2.0,111.0,2.0,126.0,3.0,8.0,2.0,0.0791,4.0,4.0,1.0,1.0,2.0,2.0,9.0
Saudi Arabia,26.0,145.0,11.0,20.0,33.0,8.0,145.0,7.0,9.0,12.0,15.0,107.0,9.0,125.0,2.0,2.0,25.0,0.4473,17.0,145.0,17.0,145.0,21.0,58.0,41.0
Senegal,117.0,145.0,87.0,40.0,69.0,105.0,145.0,145.0,131.0,145.0,74.0,8.0,78.0,39.0,71.0,145.0,126.0,2.8925,100.0,145.0,145.0,145.0,145.0,79.0,65.0
Serbia,109.0,145.0,64.0,41.0,99.0,69.0,145.0,55.0,58.0,145.0,44.0,44.0,67.0,47.0,65.0,63.0,63.0,1.2938,77.0,90.0,36.0,145.0,54.0,53.0,101.0
Sierra Leone,125.0,145.0,111.0,145.0,121.0,120.0,145.0,145.0,138.0,145.0,145.0,1.0,145.0,5.0,145.0,145.0,140.0,3.9201,133.0,145.0,145.0,145.0,145.0,73.0,93.0
Singapore,73.0,145.0,42.0,27.0,92.0,25.0,145.0,22.0,11.0,13.0,63.0,69.0,145.0,115.0,145.0,145.0,29.0,0.5272,34.0,27.0,47.0,12.0,64.0,35.0,106.0
Slovakia,112.0,145.0,81.0,145.0,104.0,66.0,145.0,59.0,71.0,145.0,62.0,9.0,79.0,48.0,73.0,80.0,69.0,1.3911,74.0,145.0,54.0,145.0,88.0,53.0,111.0
Slovenia,135.0,145.0,86.0,145.0,131.0,79.0,145.0,145.0,117.0,145.0,145.0,27.0,90.0,32.0,86.0,145.0,91.0,1.9404,93.0,68.0,63.0,145.0,84.0,80.0,135.0
Somalia,94.0,145.0,107.0,145.0,103.0,102.0,145.0,145.0,145.0,145.0,145.0,1.0,145.0,4.0,145.0,145.0,137.0,3.7393,132.0,145.0,145.0,145.0,145.0,66.0,74.0
South Africa,66.0,145.0,48.0,35.0,27.0,67.0,145.0,62.0,39.0,15.0,26.0,53.0,76.0,99.0,43.0,75.0,40.0,0.6843,33.0,67.0,44.0,14.0,53.0,47.0,25.0
South Korea,12.0,145.0,5.0,5.0,27.0,15.0,4.0,9.0,10.0,3.0,13.0,99.0,77.0,122.0,54.0,145.0,5.0,0.1642,14.0,3.0,3.0,6.0,11.0,12.0,28.0
South Sudan,32.0,145.0,98.0,39.0,73.0,142.0,145.0,145.0,144.0,145.0,69.0,1.0,145.0,6.0,37.0,24.0,113.0,2.4645,142.0,145.0,58.0,145.0,72.0,53.0,75.0
Spain,45.0,4.0,26.0,28.0,30.0,16.0,145.0,17.0,29.0,8.0,145.0,84.0,81.0,112.0,53.0,53.0,18.0,0.3247,15.0,69.0,36.0,15.0,46.0,16.0,32.0
Sri Lanka,21.0,145.0,70.0,37.0,55.0,85.0,145.0,60.0,94.0,14.0,60.0,1.0,145.0,51.0,145.0,145.0,68.0,1.3822,61.0,48.0,145.0,145.0,76.0,10.0,61.0
Sudan,22.0,145.0,47.0,19.0,26.0,125.0,145.0,41.0,142.0,145.0,7.0,1.0,145.0,64.0,47.0,36.0,66.0,1.3563,95.0,35.0,35.0,145.0,22.0,73.0,29.0
