country,active_personnel,aircraft_carriers,aircraft_total,attack_helicopters,available_manpower,defense_budget,destroyers,fighters,foreign_exchange_gold,frigates,mlrs_rocket_artillery,natural_gas_consumption,natural_gas_production,oil_consumption,oil_production,oil_proven_reserves,power_index_rank,power_index_score,purchasing_power_parity,reserve_personnel,self_propelled_artillery,submarines,tanks,total_assets,total_population
India,2.0,3.0,4.0,9.0,2.0,5.0,5.0,4.0,5.0,3.0,16.0,98.0,23.0,127.0,21.0,22.0,4.0,0.1346,3.0,8.0,35.0,7.0,5.0,4.0,2.0
Indonesia,15.0,145.0,24.0,30.0,4.0,33.0,145.0,39.0,22.0,9.0,46.0,86.0,14.0,117.0,20.0,31.0,13.0,0.2582,8.0,20.0,25.0,13.0,42.0,5.0,4.0
Iran,8.0,145.0,21.0,32.0,15.0,36.0,145.0,15.0,25.0,12.0,4.0,109.0,3.0,121.0,9.0,3.0,16.0,0.3199,23.0,24.0,16.0,3.0,8.0,34.0,17.0
Iraq,31.0,145.0,29.0,17.0,38.0,44.0,145.0,45.0,31.0,145.0,12.0,74.0,40.0,108.0,6.0,5.0,44.0,0.8115,44.0,145.0,15.0,145.0,18.0,45.0,35.0
Ireland,132.0,145.0,95.0,145.0,108.0,80.0,145.0,145.0,75.0,145.0,145.0,57.0,58.0,70.0,80.0,145.0,94.0,2.0661,42.0,92.0,145.0,145.0,145.0,75.0,115.0
Israel,34.0,145.0,17.0,15.0,91.0,18.0,145.0,11.0,20.0,145.0,23.0,67.0,28.0,79.0,63.0,76.0,15.0,0.2707,51.0,19.0,19.0,12.0,17.0,41.0,92.0
Italy,36.0,3.0,14.0,18.0,25.0,17.0,9.0,24.0,14.0,5.0,64.0,102.0,49.0,111.0,41.0,42.0,10.0,0.2211,11.0,77.0,40.0,11.0,58.0,8.0,24.0
Ivory Coast,110.0,145.0,96.0,40.0,49.0,145.0,145.0,145.0,87.0,145.0,74.0,40.0,51.0,46.0,59.0,60.0,108.0,2.3884,75.0,145.0,145.0,145.0,145.0,75.0,52.0
Japan,24.0,145.0,6.0,4.0,13.0,9.0,3.0,13.0,2.0,11.0,38.0,106.0,54.0,123.0,72.0,66.0,7.0,0.1876,5.0,53.0,22.0,5.0,26.0,21.0,11.0
Jordan,48.0,145.0,34.0,16.0,97.0,71.0,145.0,37.0,63.0,145.0,39.0,52.0,71.0,50.0,85.0,84.0,74.0,1.5581,91.0,46.0,14.0,145.0,12.0,60.0,79.0
Kazakhstan,50.0,145.0,50.0,33.0,59.0,54.0,145.0,41.0,47.0,145.0,19.0,78.0,26.0,91.0,13.0,12.0,58.0,1.0433,39.0,40.0,32.0,145.0,39.0,61.0,63.0
Kenya,74.0,145.0,55.0,43.0,31.0,81.0,145.0,50.0,78.0,145.0,145.0,1.0,145.0,57.0,145.0,145.0,84.0,1.8588,58.0,145.0,62.0,145.0,62.0,60.0,26.0
Kosovo,139.0,145.0,145.0,145.0,134.0,91.0,145.0,145.0,128.0,145.0,145.0,1.0,145.0,10.0,145.0,145.0,138.0,3.8041,135.0,85.0,145.0,145.0,145.0,53.0,136.0
Kuwait,64.0,145.0,59.0,29.0,123.0,45.0,145.0,35.0,45.0,145.0,61.0,80.0,30.0,93.0,10.0,6.0,76.0,1.7161,71.0,70.0,45.0,145.0,35.0,29.0,126.0
Kyrgyzstan,107.0,145.0,106.0,43.0,102.0,110.0,145.0,145.0,101.0,145.0,64.0,22.0,82.0,22.0,74.0,68.0,109.0,2.3969,122.0,145.0,55.0,145.0,56.0,53.0,104.0
Laos,56.0,145.0,91.0,145.0,96.0,127.0,145.0,145.0,123.0,145.0,47.0,1.0,145.0,19.0,145.0,145.0,125.0,2.8672,108.0,66.0,46.0,145.0,66.0,53.0,96.0
Latvia,115.0,145.0,109.0,145.0,136.0,140.0,145.0,145.0,100.0,145.0,145.0,26.0,145.0,24.0,78.0,145.0,102.0,2.2316,105.0,61.0,48.0,145.0,145.0,67.0,137.0
Lebanon,63.0,145.0,72.0,145.0,118.0,104.0,145.0,145.0,57.0,145.0,71.0,1.0,145.0,58.0,145.0,145.0,118.0,2.6521,109.0,78.0,66.0,145.0,41.0,50.0,114.0
Liberia,142.0,145.0,145.0,145.0,109.0,144.0,145.0,145.0,136.0,145.0,145.0,1.0,145.0,3.0,145.0,145.0,141.0,3.9275,141.0,145.0,145.0,145.0,145.0,77.0,113.0
Libya,91.0,145.0,71.0,41.0,94.0,88.0,145.0,56.0,32.0,18.0,62.0,63.0,38.0,77.0,17.0,9.0,80.0,1.7872,98.0,145.0,60.0,145.0,83.0,78.0,98.0
Lithuania,108.0,145.0,104.0,145.0,124.0,55.0,145.0,145.0,88.0,145.0,145.0,33.0,145.0,40.0,76.0,78.0,88.0,1.8949,85.0,45.0,64.0,145.0,145.0,71.0,130.0
Luxembourg,144.0,145.0,111.0,145.0,142.0,83.0,145.0,145.0,118.0,145.0,145.0,24.0,145.0,35.0,145.0,145.0,110.0,2.4429,99.0,145.0,145.0,145.0,145.0,53.0,141.0
Madagascar,124.0,145.0,107.0,145.0,54.0,134.0,145.0,145.0,119.0,145.0,145.0,1.0,145.0,14.0,145.0,145.0,131.0,3.0381,118.0,145.0,145.0,145.0,96.0,76.0,53.0
Malaysia,49.0,145.0,60.0,145.0,41.0,57.0,145.0,46.0,27.0,17.0,57.0,90.0,12.0,101.0,28.0,25.0,42.0,0.7379,30.0,55.0,145.0,15.0,86.0,36.0,45.0
Mali,81.0,145.0,84.0,37.0,71.0,92.0,145.0,59.0,135.0,145.0,59.0,1.0,145.0,33.0,145.0,145.0,104.0,2.2598,107.0,145.0,145.0,145.0,145.0,53.0,60.0
