country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Central African Republic Military Strength,143.0,4.2381,143.0,140.0,129.0,2.0,45.0,999.0,107.0,37.0,109.0,116.0,125.0,97.0,31000.0,95.0,145.0,54.0,108.0,86.0,145.0,100433.0,105.0,145.0,40.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,140.0,145.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,1.0,2000.0,145.0,145.0,1.0,0.0,145.0,145.0,1.0,0.0,76.0,63.0,118.0,145.0,145.0,77.0,106.0,145.0,0.0
2026Qatar Military Strength,71.0,1.4096,59.0,44.0,31.0,109.0,140.0,33.0,2.0,145.0,131.0,137.0,137.0,139.0,36050.0,97.0,87.0,44.0,78.0,107.0,65.0,12599.0,39.0,19.0,42.0,39.0,42.0,145.0,145.0,40.0,25.0,79.0,84.0,49.0,93.0,68.0,28.0,145.0,145.0,145.0,145.0,13.0,145.0,13.0,145.0,14.0,85.0,1550000.0,72.0,6.0,88.0,128080000000.0,3.0,145.0,1.0,0.0,145.0,1.0,117.0,61.0,41.0,103.0,134.0,145.0,0.0
2026Ukraine Military Strength,20.0,0.3691,46.0,50.0,14.0,98.0,46.0,72.0,103.0,48.0,43.0,36.0,42.0,55.0,5000000.0,6.0,2.0,15.0,19.0,25.0,39.0,387328.0,32.0,24.0,23.0,30.0,37.0,26.0,145.0,30.0,17.0,19.0,22.0,8.0,19.0,18.0,17.0,145.0,145.0,145.0,145.0,145.0,145.0,9.0,14.0,77.0,73.0,189000.0,45.0,31.0,79.0,4131000000.0,26.0,21.0,97.0,5409000.0,8.0,19.0,34.0,40.0,25.0,32.0,31.0,13.0,48.0
2026Sierra Leone Military Strength,140.0,3.9201,133.0,138.0,120.0,6.0,113.0,22.0,22.0,69.0,93.0,121.0,127.0,127.0,13000.0,125.0,145.0,145.0,106.0,106.0,83.0,45029.0,111.0,145.0,145.0,145.0,145.0,145.0,145.0,95.0,145.0,145.0,137.0,145.0,145.0,145.0,73.0,145.0,145.0,145.0,145.0,145.0,145.0,55.0,145.0,145.0,5.0,9000.0,145.0,145.0,1.0,0.0,145.0,145.0,1.0,0.0,145.0,55.0,107.0,32.0,44.0,103.0,126.0,145.0,0.0
2026Cameroon Military Strength,99.0,2.1689,84.0,103.0,103.0,51.0,54.0,21.0,98.0,145.0,51.0,56.0,61.0,48.0,47000.0,83.0,145.0,40.0,100.0,71.0,74.0,489203.0,90.0,145.0,145.0,45.0,71.0,29.0,145.0,76.0,145.0,145.0,130.0,62.0,78.0,65.0,66.0,145.0,145.0,145.0,145.0,145.0,145.0,47.0,145.0,50.0,30.0,23000.0,49.0,52.0,28.0,1717942000.0,43.0,145.0,1.0,0.0,145.0,40.0,52.0,52.0,40.0,81.0,67.0,89.0,0.0
2026Panama Military Strength,135.0,3.5011,79.0,90.0,93.0,130.0,112.0,70.0,15.0,69.0,118.0,120.0,126.0,123.0,96300.0,118.0,145.0,17.0,97.0,58.0,145.0,52966.0,88.0,145.0,145.0,38.0,145.0,29.0,145.0,74.0,145.0,145.0,115.0,145.0,145.0,145.0,64.0,145.0,145.0,145.0,145.0,145.0,145.0,52.0,145.0,145.0,65.0,131000.0,145.0,145.0,20.0,389611000.0,145.0,145.0,42.0,863000.0,145.0,22.0,116.0,3.0,35.0,57.0,125.0,119.0,0.0
2026Spain Military Strength,18.0,0.3247,15.0,29.0,16.0,135.0,52.0,86.0,49.0,62.0,32.0,30.0,28.0,62.0,224305.0,45.0,69.0,18.0,28.0,55.0,27.0,326785.0,26.0,17.0,36.0,15.0,25.0,24.0,145.0,27.0,28.0,46.0,20.0,36.0,49.0,145.0,16.0,4.0,145.0,145.0,8.0,145.0,15.0,12.0,13.0,53.0,112.0,1278000.0,53.0,81.0,84.0,32791991000.0,88.0,57.0,79.0,6108000.0,40.0,6.0,28.0,35.0,15.0,19.0,35.0,19.0,13.0
2026Tajikistan Military Strength,100.0,2.1749,123.0,115.0,119.0,15.0,91.0,999.0,82.0,89.0,87.0,86.0,82.0,77.0,770000.0,38.0,14.0,32.0,83.0,113.0,145.0,174468.0,93.0,145.0,145.0,50.0,73.0,145.0,145.0,77.0,39.0,90.0,75.0,71.0,92.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,22.0,30700.0,78.0,86.0,11.0,67091000.0,81.0,43.0,57.0,97000.0,21.0,36.0,109.0,145.0,145.0,94.0,101.0,99.0,0.0
2026Moldova Military Strength,136.0,3.6225,128.0,97.0,138.0,11.0,129.0,999.0,47.0,78.0,123.0,117.0,112.0,109.0,10500.0,136.0,91.0,51.0,91.0,121.0,145.0,71082.0,109.0,145.0,145.0,50.0,145.0,145.0,145.0,94.0,145.0,145.0,114.0,70.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,16.0,22000.0,145.0,94.0,37.0,2343990000.0,145.0,145.0,24.0,90000.0,145.0,21.0,128.0,76.0,145.0,101.0,129.0,88.0,0.0
2026Algeria Military Strength,27.0,0.4849,40.0,34.0,23.0,26.0,10.0,43.0,115.0,145.0,33.0,29.0,27.0,30.0,430000.0,42.0,38.0,11.0,36.0,21.0,35.0,742862.0,16.0,20.0,16.0,11.0,31.0,22.0,13.0,12.0,10.0,13.0,27.0,21.0,27.0,28.0,33.0,145.0,145.0,145.0,11.0,9.0,12.0,20.0,16.0,16.0,94.0,997000.0,15.0,10.0,94.0,52763000000.0,11.0,145.0,7.0,3000.0,61.0,23.0,46.0,63.0,30.0,49.0,47.0,46.0,33.0
